html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/patsy-cline-patsy-cashes-in-on-the-c-and-w-boom"">Patsy Cline: Patsy Cashes In on the C and W Boom</a></p>
<p>Profile by June Harris, <i>Disc</i>, 1 December 1962</p>
<p class=""excerpt"">LAST WEEK, when 'Heartaches' eased its way into our Top Thirty at 29, Patsy Cline became the first American country and western girl to get ...</p>
</div>",/Library/Article/patsy-cline-patsy-cashes-in-on-the-c-and-w-boom,Patsy Cashes In on the C and W Boom,June Harris,Disc,Profile,1 December 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/patsy-cline-overcame-grave-car-crash-injuries"">Patsy Cline Overcame Grave Car Crash Injuries</a></p>
<p>Profile and Interview by Alan Smith, <i>NME</i>, 7 December 1962</p>
<p class=""excerpt"">PERSONAL tragedy is nothing to Patsy Cline, who sings of 'Heartaches' on her first big hit disc in Britain. Her fast-rising career was interrupted last ...</p>
</div>",/Library/Article/patsy-cline-overcame-grave-car-crash-injuries,Patsy Cline Overcame Grave Car Crash Injuries,Alan Smith,NME,Profile and Interview,7 December 1962
"<div class=""article-listing"">
<p><a href=""/Library/Article/colder-in-nashville-than-even-here-says-tom-springfield"">Springfields, The: Colder In Nashville Than Even Here Says Tom Springfield</a></p>
<p>Interview by Peter Jones, <i>Record Mirror</i>, 2 February 1963</p>
<p class=""excerpt"">MIKE PICKWORTH is the ""new boy"" of the Springfield's. He's the 21-year-old who took over when Tim Feild left to set up in the antique ...</p>
</div>",/Library/Article/colder-in-nashville-than-even-here-says-tom-springfield,Colder In Nashville Than Even Here Says Tom Springfield,Peter Jones,Record Mirror,Interview,2 February 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/patsy-cline-killed-in-air-crash"">Patsy Cline Killed In Air Crash</a></p>
<p>Report by uncredited writer, <i>New Musical Express</i>, 8 March 1963</p>
<p class=""excerpt"">A TRAGIC air accident again struck a cruel blow at the pop music world this week. Four years after Buddy Holly's death, country-and-western star Patsy ...</p>
</div>",/Library/Article/patsy-cline-killed-in-air-crash,Patsy Cline Killed In Air Crash,uncredited writer,New Musical Express,Report,8 March 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-great-unknowns-no-2-buddy-knox"">Buddy Knox: The Great Unknowns No. 2: Buddy Knox</a></p>
<p>Profile by Norman Jopling, <i>Record Mirror</i>, 23 March 1963</p>
<p class=""excerpt"">SEVERAL MONTHS ago a disc entered the top fifty by an artist who hadn't seen the light of the charts for many years. It was ...</p>
</div>",/Library/Article/the-great-unknowns-no-2-buddy-knox,The Great Unknowns No. 2: Buddy Knox,Norman Jopling,Record Mirror,Profile,23 March 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/hank-locklin-on-newcomers-tv-show"">Hank Locklin on Newcomers' TV Show!</a></p>
<p>Profile by Alan Smith, <i>New Musical Express</i>, 12 April 1963</p>
<p class=""excerpt"">ONE OF America's biggest country-and-western stars, Hank Locklin, is arriving in London today (Friday) for his first visit to this country. Regrettably, most of his ...</p>
</div>",/Library/Article/hank-locklin-on-newcomers-tv-show,Hank Locklin on Newcomers' TV Show!,Alan Smith,New Musical Express,Profile,12 April 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/alan-smith-conducts-a-transatlantic-question-time-with-skeeter-davis"">Skeeter Davis: Alan Smith Conducts a Transatlantic Question-Time with Skeeter Davis</a></p>
<p>Interview by Alan Smith, <i>New Musical Express</i>, 26 April 1963</p>
<p class=""excerpt"">A MODEST, charming person who's far from being as sad as she sounds on her first British hit, 'The End Of The World'! — that's ...</p>
</div>",/Library/Article/alan-smith-conducts-a-transatlantic-question-time-with-skeeter-davis,Alan Smith Conducts a Transatlantic Question-Time with Skeeter Davis,Alan Smith,New Musical Express,Interview,26 April 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/dock-boggs-mississippi-john-hurt-alumni-hall-new-york-university-new-york-ny"">Doc Boggs, Mississippi John Hurt: Dock Boggs, Mississippi John Hurt: Alumni Hall, New York University, New York NY</a></p>
<p>Live Review by Robert Shelton, <i>The New York Times</i>, 14 December 1963</p>
<p class=""excerpt"">2 OLD-TIMERS SHARE FOLK-SONG PROGRAM ...</p>
</div>",/Library/Article/dock-boggs-mississippi-john-hurt-alumni-hall-new-york-university-new-york-ny,"Dock Boggs, Mississippi John Hurt: Alumni Hall, New York University, New York NY",Robert Shelton,The New York Times,Live Review,14 December 1963
"<div class=""article-listing"">
<p><a href=""/Library/Article/jim-reeves-we-just-come-through-here-once"">Jim Reeves: ""We just come through here once...""</a></p>
<p>Report and Interview by Peter Jones, <i>Record Mirror</i>, 15 August 1964</p>
<p class=""excerpt"">JIM REEVES, only a few weeks off forty but looking much younger, relaxed In the garden of his beautiful new home at Madison, Tennessee. He ...</p>
</div>",/Library/Article/jim-reeves-we-just-come-through-here-once,"""We just come through here once...""",Peter Jones,Record Mirror,Report and Interview,15 August 1964
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-everly-brothers-irock-n-souli-warner-bros-wm-8171-igone-gone-gonei-warner-bros-wm-8169"">Everly Brothers, The: The Everly Brothers: <i>Rock 'n' Soul</i> (Warner Bros. WM 8171); <i>Gone, Gone, Gone</i> (Warner Bros. WM 8169)</a></p>
<p>Review by Norman Jopling, Peter Jones, <i>Record Mirror</i>, 1 May 1965</p>
<p class=""excerpt"">2 wild albums from Everlys ...</p>
</div>",/Library/Article/the-everly-brothers-irock-n-souli-warner-bros-wm-8171-igone-gone-gonei-warner-bros-wm-8169,"The Everly Brothers: Rock 'n' Soul (Warner Bros. WM 8171); Gone, Gone, Gone (Warner Bros. WM 8169)",Norman Jopling,Record Mirror,Review,1 May 1965
"<div class=""article-listing"">
<p><a href=""/Library/Article/everlys-thrilled-over-british-tour"">Everly Brothers, The: Everlys Thrilled Over British Tour</a></p>
<p>Interview by Tracy Thomas, <i>New Musical Express</i>, 9 July 1965</p>
<p class=""excerpt"">""WE'RE looking so much forward to going back to Britain,"" exclaimed Don Everly on the phone from Decorah, Iowa, to my office in California. ""We're ...</p>
</div>",/Library/Article/everlys-thrilled-over-british-tour,Everlys Thrilled Over British Tour,Tracy Thomas,New Musical Express,Interview,9 July 1965
"<div class=""article-listing"">
<p><a href=""/Library/Article/roger-miller-65s-pop-surprise-man"">Roger Miller: '65's Pop Surprise Man</a></p>
<p>Profile by uncredited writer, <i>KRLA Beat</i>, 8 January 1966</p>
<p class=""excerpt"">WITH THE Old Year now just a part of history, there is one man in this world of pop who must undoubtedly have been quite ...</p>
</div>",/Library/Article/roger-miller-65s-pop-surprise-man,'65's Pop Surprise Man,uncredited writer,KRLA Beat,Profile,8 January 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/roger-miller--little-jimmy-dickens-a-happy-thing-happened-on-our-way-to-ihullabalooi"">Bobby Bare, Roger Miller, Little Jimmy Dickens: Roger Miller &amp; Little Jimmy Dickens: A Happy Thing Happened On Our Way To <i>Hullabaloo</i></a></p>
<p>Report by Jane Heil, <i>Hit Parader</i>, April 1966</p>
<p class=""excerpt"">ISN'T THAT Roger Miller standing over on the sidelines at the Hullabaloo rehearsal? Are those tears in his eyes? What's he doing here, anyway; he isn't even ...</p>
</div>",/Library/Article/roger-miller--little-jimmy-dickens-a-happy-thing-happened-on-our-way-to-ihullabalooi,Roger Miller & Little Jimmy Dickens: A Happy Thing Happened On Our Way To Hullabaloo,Jane Heil,Hit Parader,Report,April 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/recording-sessions-i-have-known-by-charlie-mccoy"">Bob Dylan, Elvis Presley, Foggy Mountain Boys, Charlie McCoy: ""Recording Sessions I Have Known"" by Charlie McCoy</a></p>
<p>Interview by Jim Delehant, <i>Hit Parader</i>, May 1966</p>
<p class=""excerpt"">When you hear a harmonica wailing in the background on currently popular blues, country, folk or pop recordings, it's probably being played by an ultra-talented guy ...</p>
</div>",/Library/Article/recording-sessions-i-have-known-by-charlie-mccoy,"""Recording Sessions I Have Known"" by Charlie McCoy",Jim Delehant,Hit Parader,Interview,May 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/jim-reeves-ikimberley-jimi-rca-victor"">Jim Reeves: <i>Kimberley Jim</i> (RCA Victor)</a></p>
<p>Review by Peter Jones, <i>Record Mirror</i>, 14 May 1966</p>
<p class=""excerpt"">WHEN JIM Reeves last visited London, he and I talked long and earnestly about what he wanted to do with his career. He had hit ...</p>
</div>",/Library/Article/jim-reeves-ikimberley-jimi-rca-victor,Kimberley Jim (RCA Victor),Peter Jones,Record Mirror,Review,14 May 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash--the-cw-legend-also-beloved-by-rockers"">Johnny Cash — The C&amp;W Legend Also Beloved By Rockers</a></p>
<p>Interview by Richard Green, <i>Record Mirror</i>, 21 May 1966</p>
<p class=""excerpt"">JOHNNY CASH has become almost a country and western legend in the twelve years that he's been recording. Rock 'n' roll fans in this country ...</p>
</div>",/Library/Article/johnny-cash--the-cw-legend-also-beloved-by-rockers,Johnny Cash — The C&W Legend Also Beloved By Rockers,Richard Green,Record Mirror,Interview,21 May 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/roger-miller-a-punny-man"">Roger Miller: A Punny Man</a></p>
<p>Profile and Interview by Pete Johnson, <i>Los Angeles Times</i>, 2 July 1966</p>
<p class=""excerpt"">""A WOMAN'S place is in the stove,"" Roger Miller drawled over the babble of four housewives sitting behind him in a plush Encino restaurant. ...</p>
</div>",/Library/Article/roger-miller-a-punny-man,A Punny Man,Pete Johnson,Los Angeles Times,Profile and Interview,2 July 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/jim-reeves-jims-first-number-one"">Jim Reeves: Jim's First Number One</a></p>
<p>Report by Alan Smith, <i>NME</i>, 23 September 1966</p>
<p class=""excerpt"">From Tennessee Mrs. Mary Reeves says thanks for Jim's first number one ...</p>
</div>",/Library/Article/jim-reeves-jims-first-number-one,Jim's First Number One,Alan Smith,NME,Report,23 September 1966
"<div class=""article-listing"">
<p><a href=""/Library/Article/mary-reeves-tells-alan-smith-about-jims-greatest-tribute"">Jim Reeves: Mary Reeves Tells Alan Smith About Jim's Greatest Tribute</a></p>
<p>Interview by Alan Smith, <i>New Musical Express</i>, 18 February 1967</p>
<p class=""excerpt"">""THE MOST loyal people in the whole world"" — those were the warm words with which Mary, widow of the late Jim Reeves, described British ...</p>
</div>",/Library/Article/mary-reeves-tells-alan-smith-about-jims-greatest-tribute,Mary Reeves Tells Alan Smith About Jim's Greatest Tribute,Alan Smith,New Musical Express,Interview,18 February 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/sandys-a-single-girl-who-goes-for-rb"">Sandy Posey: Sandy's a Single Girl who goes for R&amp;B</a></p>
<p>Interview by Norman Jopling, <i>Record Mirror</i>, 25 February 1967</p>
<p class=""excerpt"">""SHE'S DIFFICULT to interview — she's very quiet and she's only interested in music and people concerned with music."" That was the advice I was ...</p>
</div>",/Library/Article/sandys-a-single-girl-who-goes-for-rb,Sandy's a Single Girl who goes for R&B,Norman Jopling,Record Mirror,Interview,25 February 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/flatt--scruggs-hearts--flowers-troubadour-los-angeles-ca"">Earl Scruggs, Lester Flatt, Hearts &amp; Flowers: Flatt &amp; Scruggs, Hearts &amp; Flowers: Troubadour, Los Angeles CA</a></p>
<p>Live Review by Tracy Thomas, <i>New Musical Express</i>, 26 February 1967</p>
<p class=""excerpt"">Down in the dumps ...</p>
</div>",/Library/Article/flatt--scruggs-hearts--flowers-troubadour-los-angeles-ca,"Flatt & Scruggs, Hearts & Flowers: Troubadour, Los Angeles CA",Tracy Thomas,New Musical Express,Live Review,26 February 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/lp-reviews-sam--dave-james-brown-chet-atkins-and-the-mothers-of-invention"">Chet Atkins, James Brown, Mothers Of Invention, The, Sam &amp; Dave: LP Reviews: Sam &amp; Dave, James Brown, Chet Atkins, and the Mothers of Invention</a></p>
<p>Review by uncredited writer, <i>Beat Instrumental</i>, April 1967</p>
<p class=""excerpt""> 
Sam And Dave: Double Dynamite (Stax 589003) ...</p>
</div>",/Library/Article/lp-reviews-sam--dave-james-brown-chet-atkins-and-the-mothers-of-invention,"LP Reviews: Sam & Dave, James Brown, Chet Atkins, and the Mothers of Invention",uncredited writer,Beat Instrumental,Review,April 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/new-albums-from-the-doors-roy-orbison-sonny--cher-iet-ali"">Roy Orbison, Sonny &amp; Cher, Joe Tex, Doors, The, McKinley ""Soul"" Mitchell, Petula Clark, James Brown, Lonnie Mack: New Albums From The Doors, Roy Orbison, Sonny &amp; Cher <i>et al</i></a></p>
<p>Review by Norman Jopling, Peter Jones, <i>Record Mirror</i>, 22 April 1967</p>
<p class=""excerpt"">Orbison Gibson album — a fine LP but could be depressing... ...</p>
</div>",/Library/Article/new-albums-from-the-doors-roy-orbison-sonny--cher-iet-ali,"New Albums From The Doors, Roy Orbison, Sonny & Cher et al",Norman Jopling,Record Mirror,Review,22 April 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/charley-pride--americas-coloured-cowboy"">Charley Pride — America's Coloured Cowboy</a></p>
<p>Profile by John Abbey, <i>Record Mirror</i>, 5 August 1967</p>
<p class=""excerpt"">ASK ANYBODY who knows anything about Country Music to name an artiste with a bright future in this field and you'll hear the name Charley ...</p>
</div>",/Library/Article/charley-pride--americas-coloured-cowboy,Charley Pride — America's Coloured Cowboy,John Abbey,Record Mirror,Profile,5 August 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/bobbie-gentry-reveals-message-behind-ode"">Bobbie Gentry Reveals Message Behind 'Ode'</a></p>
<p>Interview by uncredited writer, <i>KRLA Beat</i>, 26 August 1967</p>
<p class=""excerpt"">WHO KILLED Billy Joe McAllister? Or did he jump? What was thrown off that bridge? And why? These are just some of the questions raised ...</p>
</div>",/Library/Article/bobbie-gentry-reveals-message-behind-ode,Bobbie Gentry Reveals Message Behind 'Ode',uncredited writer,KRLA Beat,Interview,26 August 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/bobbie--on-the-tallahatchee-bridge-to-fame"">Bobbie Gentry: Bobbie — On The Tallahatchee Bridge To Fame</a></p>
<p>Interview by Alan Walsh, <i>Melody Maker</i>, 21 October 1967</p>
<p class=""excerpt"">ALAN WALSH meets the 'Ode to Billie Joe' girl ...</p>
</div>",/Library/Article/bobbie--on-the-tallahatchee-bridge-to-fame,Bobbie — On The Tallahatchee Bridge To Fame,Alan Walsh,Melody Maker,Interview,21 October 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/linda-leading-stone-poneys-to-gold-water"">Stone Poneys, The: Linda Leading Stone Poneys To Gold Water</a></p>
<p>Interview by Tony Leigh, <i>KRLA Beat</i>, 30 December 1967</p>
<p class=""excerpt"">THERE IS A new type of singing group at the forefront of the pop music industry — the group that is led by a female ...</p>
</div>",/Library/Article/linda-leading-stone-poneys-to-gold-water,Linda Leading Stone Poneys To Gold Water,Tony Leigh,KRLA Beat,Interview,30 December 1967
"<div class=""article-listing"">
<p><a href=""/Library/Article/buck-owens-carousel-ballroom-san-francisco-ca"">Buck Owens: Carousel Ballroom, San Francisco CA</a></p>
<p>Live Review by Philip Elwood, <i>The San Francisco Examiner</i>, 11 March 1968</p>
<p class=""excerpt"">Exhilarating Time With Buck Owens ...</p>
</div>",/Library/Article/buck-owens-carousel-ballroom-san-francisco-ca,"Carousel Ballroom, San Francisco CA",Philip Elwood,The San Francisco Examiner,Live Review,11 March 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/sydney-nathan-dead"">Sydney Nathan Dead</a></p>
<p>Obituary by uncredited writer, <i>Record World</i>, 16 March 1968</p>
<p class=""excerpt"">Pioneered C&amp;W Wax, Then R&amp;B ...</p>
</div>",/Library/Article/sydney-nathan-dead,Sydney Nathan Dead,uncredited writer,Record World,Obituary,16 March 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/albums-from-blue-cheer-bobbie-gentry-and-the-human-beinz"">Blue Cheer, Bobbie Gentry, Human Beinz, The: Albums from Blue Cheer, Bobbie Gentry and the Human Beinz</a></p>
<p>Review by uncredited writer, <i>KRLA Beat</i>, 23 March 1968</p>
<p class=""excerpt"">VINCEBUS ERUPTUM (Philips) Blue Cheer  'Summertime Blues', 'Rock Me Baby', 'Doctor Please', 'Out of Focus', 'Parchment Farm' and 'Second Time Around'. ...</p>
</div>",/Library/Article/albums-from-blue-cheer-bobbie-gentry-and-the-human-beinz,"Albums from Blue Cheer, Bobbie Gentry and the Human Beinz",uncredited writer,KRLA Beat,Review,23 March 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-byrds-penny-nichols-troubadour-los-angeles-ca"">Byrds, The, Penny Nichols: The Byrds, Penny Nichols: Troubadour, Los Angeles CA</a></p>
<p>Live Review by Pete Johnson, <i>Los Angeles Times</i>, 27 April 1968</p>
<p class=""excerpt"">'New' Byrds Make Bow at Troubadour ...</p>
</div>",/Library/Article/the-byrds-penny-nichols-troubadour-los-angeles-ca,"The Byrds, Penny Nichols: Troubadour, Los Angeles CA",Pete Johnson,Los Angeles Times,Live Review,27 April 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/before-honey-i-had-almost-given-up-hope-says-bobby-goldsboro"">Bobby Goldsboro: Before 'Honey' I Had Almost Given Up Hope, Says Bobby Goldsboro</a></p>
<p>Interview by Richard Green, <i>NME</i>, 4 May 1968</p>
<p class=""excerpt"">HIT AFTER HIT has been written by Bobby Goldsboro, but for other people as far as Britain is concerned. His own songs have taken him ...</p>
</div>",/Library/Article/before-honey-i-had-almost-given-up-hope-says-bobby-goldsboro,"Before 'Honey' I Had Almost Given Up Hope, Says Bobby Goldsboro",Richard Green,NME,Interview,4 May 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/dylan--hes-the-best-songwriter-around-now-said-johnny-cash"">Johnny Cash: 'Dylan — He's The Best Songwriter Around Now...' said Johnny Cash</a></p>
<p>Profile and Interview by Norman Jopling, <i>Record Mirror</i>, 11 May 1968</p>
<p class=""excerpt"">IN THE YEAR 1956, one of the most formidable of the small American labels was Sun records, owned and run by Sam Phillips who was ...</p>
</div>",/Library/Article/dylan--hes-the-best-songwriter-around-now-said-johnny-cash,'Dylan — He's The Best Songwriter Around Now...' said Johnny Cash,Norman Jopling,Record Mirror,Profile and Interview,11 May 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-byrds-middle-earth-london"">Byrds, The, Gram Parsons: The Byrds: Middle Earth, London</a></p>
<p>Live Review by Norman Jopling, <i>Record Mirror</i>, 18 May 1968</p>
<p class=""excerpt"">HIGH FLYING BYRDS TRIUMPH WITH A BRITISH AUDIENCE... ...</p>
</div>",/Library/Article/the-byrds-middle-earth-london,"The Byrds: Middle Earth, London",Norman Jopling,Record Mirror,Live Review,18 May 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-changing-face-of-the-byrds"">Byrds, The: The Changing Face of the Byrds</a></p>
<p>Interview by uncredited writer, <i>Melody Maker</i>, 25 May 1968</p>
<p class=""excerpt"">""THE BYRDS have changed. In looks, line-up and partly in repertoire. Gone is the long hair, which, back in 1965, earned them the description of ...</p>
</div>",/Library/Article/the-changing-face-of-the-byrds,The Changing Face of the Byrds,uncredited writer,Melody Maker,Interview,25 May 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/flatt--scruggs-hungry-i-san-francisco-ca"">Earl Scruggs, Lester Flatt: Flatt &amp; Scruggs: hungry i, San Francisco CA</a></p>
<p>Live Review by Philip Elwood, <i>The San Francisco Examiner</i>, 2 July 1968</p>
<p class=""excerpt"">Fine Flatt-Scruggs Sextet ...</p>
</div>",/Library/Article/flatt--scruggs-hungry-i-san-francisco-ca,"Flatt & Scruggs: hungry i, San Francisco CA",Philip Elwood,The San Francisco Examiner,Live Review,2 July 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/merle-haggard-home-fried-humor-and-cowboy-soul"">Merle Haggard: Home-fried Humor and Cowboy Soul</a></p>
<p>Profile and Interview by Al Aronowitz, <i>Rolling Stone</i>, 10 August 1968</p>
<p class=""excerpt"">COUNTRY MUSIC is blowing in like a fresh wind from the West. America can't be defined by its pay-toilets and its smog. Merle Haggard never ...</p>
</div>",/Library/Article/merle-haggard-home-fried-humor-and-cowboy-soul,Home-fried Humor and Cowboy Soul,Al Aronowitz,Rolling Stone,Profile and Interview,10 August 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/country-cabaret-and-rock--its-the-new-look-jerry-lee-lewis"">Jerry Lee Lewis: Country, Cabaret, and Rock — It's The New Look Jerry Lee Lewis</a></p>
<p>Interview by Alan Walsh, <i>Melody Maker</i>, 17 August 1968</p>
<p class=""excerpt"">THE MAN who rivals Little Richard as rock and roll's King of Excitement arrived back in London last week for a fleeting visit. Jerry Lee ...</p>
</div>",/Library/Article/country-cabaret-and-rock--its-the-new-look-jerry-lee-lewis,"Country, Cabaret, and Rock — It's The New Look Jerry Lee Lewis",Alan Walsh,Melody Maker,Interview,17 August 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/country-albums-from-the-byrds-loretta-lynn-kitty-wells-iet-ali"">Byrds, The, Loretta Lynn, Conway Twitty, Bill Anderson, Kitty Wells, Jan Howard, Jack Greene, Ernest Tubb: Country albums from the Byrds, Loretta Lynn, Kitty Wells <i>et al</i></a></p>
<p>Review by uncredited writer, <i>Disc and Music Echo</i>, 12 October 1968</p>
<p class=""excerpt"">Byrds switch to country music... and it's great ...</p>
</div>",/Library/Article/country-albums-from-the-byrds-loretta-lynn-kitty-wells-iet-ali,"Country albums from the Byrds, Loretta Lynn, Kitty Wells et al",uncredited writer,Disc and Music Echo,Review,12 October 1968
